dci	dcirenommer	relation	code	substances	validation		
ABCIXIMAB (C 7E3B FAB)		0	19576	HYPROMELLOSE	semiautomatique		
ABCIXIMAB (C 7E3B FAB)		0	19576	E 464	semiautomatique		
ABCIXIMAB (C 7E3B FAB)		same	99176	ABCIXIMAB (C7E3B FAB)	semiautomatique		
ABCIXIMAB (C 7E3B FAB)		0	39359	FRAGMENT FAB D'IMMUNOGLOBULINE ANTIDIGITALIQUE OVIN 	semiautomatique		
ABCIXIMAB (C 7E3B FAB)		0	478	CYTOCHROME C	semiautomatique		
ABCIXIMAB (C 7E3B FAB)		0	97363	BACTÉRIE B C G LYOPHILISÉ	semiautomatique		
ABCIXIMAB (C 7E3B FAB)		0	98950	URÉE [13C]	semiautomatique		
ABCIXIMAB (C 7E3B FAB)		0	99059	PROTÉINE C HUMAINE 	semiautomatique		
ABIRATERONE		hasform	37304	ACÉTATE D'ABIRATÉRONE	semiautomatique		
ACEBUTOLOL			191	ACÉBUTOLOL (CHLORHYDRATE D')	semiautomatique		
ACEBUTOLOL			191	CHLORHYDRATE D'ACÉBUTOLOL	semiautomatique		
ACEPROMAZINE			1000	ACÉPROMAZINE (MALÉATE D')	semiautomatique		
ACEPROMAZINE			98020	ACÉPROMAZINE BASE	semiautomatique		
ACEPROMETAZINE			1001	ACÉPROMÉTAZINE (MALÉATE D')	semiautomatique		
ACEPROMETAZINE			28159	ACÉPROMÉTAZINE BASE	semiautomatique		
ACETYLSULFAFURAZOL	acetyl sulfafurazol		66916	NAAGA SEL DE SODIUM	semiautomatique		
ACETYLSULFAFURAZOL	acetyl sulfafurazol		11079	ACÉTYL SULFAFURAZOL	manuelle		
ACETYLSULFAFURAZOL	acetyl sulfafurazol		4704	N-ACÉTYL L-ASPARTATE DE DIPOTASSIUM	semiautomatique		
ACETYLSULFAFURAZOL	acetyl sulfafurazol		1014	ACÉTYLCYSTÉINE	semiautomatique		
ACETYLSULFAFURAZOL	acetyl sulfafurazol		66916	SODIUM (N-ACÉTYL L-ASPARTYL L-GLUTAMATE DE)	semiautomatique		
ACETYLSULFAFURAZOL	acetyl sulfafurazol		3387	N-ACÉTYL-MÉTHIONINE	semiautomatique		
ACETYLSULFAFURAZOL	acetyl sulfafurazol		66916	ACIDE N-ACÉTYL ASPARTYL GLUTAMIQUE (SEL DE SODIUM)	semiautomatique		
ACETYLSULFAFURAZOL	acetyl sulfafurazol		1014	N-ACÉTYL L-CYSTÉINE	semiautomatique		
ACETYLSULFAFURAZOL	acetyl sulfafurazol		4704	POTASSIUM (N-ACÉTYLAMINOSUCCINATE DE)	semiautomatique		
ACETYLSULFAFURAZOL	acetyl sulfafurazol		16155	ACÉTYL-ASPARTYL-GLUTAMIQUE ACIDE,SEL MAGNÉSIEN	semiautomatique		
ACIDE ACETYLSALICYLIQUE	ACETYLSALICYLATE		3107	DL-LYSINE (ACÉTYLSALICYLATE DE)	manuelle		
ACIDE ACETYLSALICYLIQUE	ACETYLSALICYLATE		411	ACÉTYLSALICYLATE DE SODIUM	semiautomatique		
ACIDE ACETYLSALICYLIQUE	ACETYLSALICYLATE		411	SODIUM (ACÉTYLSALICYLATE DE)	semiautomatique		
ACIDE ACETYLSALICYLIQUE	ACETYLSALICYLATE		3107	ACÉTYLSALICYLATE DE DL-LYSINE	manuelle		
ACIDE ACETYLSALICYLIQUE			5	ACIDE ACÉTYLSALICYLIQUE	semiautomatique		
ACIDE ACETYLSALICYLIQUE			5	ASPIRINE	semiautomatique		
ACIDE ACETYLSALICYLIQUE			5	ACÉTYLSALICYLIQUE (ACIDE)	semiautomatique		
ACIDE ACETYLSALICYLIQUE			2947	ACIDE MALIQUE	semiautomatique		
ACIDE ACETYLSALICYLIQUE			2947	MALIQUE (ACIDE)	semiautomatique		
ACIDE ACETYLSALICYLIQUE			688	ACIDE LACTIQUE	semiautomatique		
ACIDE ACETYLSALICYLIQUE			688	LACTIQUE (ACIDE)	semiautomatique		
ACIDE ACETYLSALICYLIQUE			93286	ACIDE CLAVULANIQUE	semiautomatique		
ACIDE ACETYLSALICYLIQUE			93286	CLAVULANIQUE (ACIDE)	semiautomatique		
ACIDE ALENDRONIQUE	ALENDRONATE		24982	ALENDRONATE MONOSODIQUE TRIHYDRATÉ	manuelle		
ACIDE ALENDRONIQUE	ALENDRONATE		24982	ALENDRONATE DE SODIUM	manuelle		
ACIDE ALENDRONIQUE	ALENDRONATE		24982	SODIUM (ALENDRONATE DE) TRIHYDRATÉ	manuelle		
ACIDE ALENDRONIQUE	ALENDRONATE		17270	ALENDRONATE MONOSODIQUE MONOHYDRATÉ	semiautomatique		
ACIDE ALENDRONIQUE	ALENDRONATE		43912	ALENDRONATE DE SODIUM ANHYDRE	semiautomatique		
ACIDE ALENDRONIQUE	ALENDRONATE		24982	ALENDRONATE DE SODIUM TRIHYDRATÉ	manuelle		
ACIDE ALENDRONIQUE			2947	ACIDE MALIQUE	semiautomatique		
ACIDE ALENDRONIQUE			2947	MALIQUE (ACIDE)	semiautomatique		
ACIDE AMIDOTRIZOIQUE	AMIDOTRIZOATE		1123	AMIDOTRIZOATE DE SODIUM	semiautomatique		
ACIDE AMIDOTRIZOIQUE	AMIDOTRIZOATE		3146	AMIDOTRIZOATE DE MÉGLUMINE	manuelle		
ACIDE AMIDOTRIZOIQUE			2947	ACIDE MALIQUE	semiautomatique		
ACIDE AMIDOTRIZOIQUE			2947	MALIQUE (ACIDE)	semiautomatique		
ACIDE AMIDOTRIZOIQUE			688	LACTIQUE (ACIDE)	semiautomatique		
ACIDE AMIDOTRIZOIQUE			688	ACIDE LACTIQUE	semiautomatique		
ACIDE AMIDOTRIZOIQUE			93286	CLAVULANIQUE (ACIDE)	semiautomatique		
ACIDE AMIDOTRIZOIQUE			93286	ACIDE CLAVULANIQUE	semiautomatique		
ACIDE ASCORBIQUE	ASCORBATE		3641	ASCORBATE DE CALCIUM DIHYDRATÉ	semiautomatique		
ACIDE ASCORBIQUE	ASCORBATE		512	ASCORBATE FERREUX	semiautomatique		
ACIDE ASCORBIQUE	ASCORBATE		4716	ASCORBATE DE NICOTINAMIDE	semiautomatique		
ACIDE ASCORBIQUE	ASCORBATE		1182	ASCORBATE DE SODIUM	manuelle		
ACIDE ASCORBIQUE	ASCORBATE		3641	CALCIUM (ASCORBATE DE)	semiautomatique		
ACIDE ASCORBIQUE	ASCORBATE		67	MAGNÉSIUM (ASCORBATE DE)	semiautomatique		
