"dci"	"dcirenommer"	"relation"	"code"	"substances"	"validation"
"ABATACEPT"		"same"	"97144"	"ABATACEPT "	"automatique"
"ABCIXIMAB (C 7E3B FAB)"		"same"	"99176"	"ABCIXIMAB (C7E3B FAB)"	"semiautomatique"
"ABIRATERONE"		"hasform"	"37304"	"ACÉTATE D'ABIRATÉRONE"	"semiautomatique"
"ACEBUTOLOL"		"same"	"63130"	"ACÉBUTOLOL"	"automatique"
"ACEBUTOLOL"		"same"	"63130"	"ACÉBUTOLOL BASE"	"automatique"
"ACEBUTOLOL"		"hasform"	"191"	"ACÉBUTOLOL (CHLORHYDRATE D')"	"semiautomatique"
"ACEBUTOLOL"		"hasform"	"191"	"CHLORHYDRATE D'ACÉBUTOLOL"	"semiautomatique"
"ACECLOFENAC"		"same"	"62180"	"ACÉCLOFÉNAC"	"automatique"
"ACENOCOUMAROL"		"same"	"998"	"ACÉNOCOUMAROL"	"automatique"
"ACEPROMAZINE"		"hasform"	"1000"	"ACÉPROMAZINE (MALÉATE D')"	"semiautomatique"
"ACEPROMAZINE"		"same"	"98020"	"ACÉPROMAZINE BASE"	"semiautomatique"
"ACEPROMETAZINE"		"hasform"	"1001"	"ACÉPROMÉTAZINE (MALÉATE D')"	"semiautomatique"
"ACEPROMETAZINE"		"same"	"28159"	"ACÉPROMÉTAZINE BASE"	"semiautomatique"
"ACETAZOLAMIDE"		"same"	"1006"	"ACÉTAZOLAMIDE"	"automatique"
"ACETYLSULFAFURAZOL"	"acetyl sulfafurazol"	"same"	"11079"	"ACÉTYL SULFAFURAZOL"	"manuelle"
"ACICLOVIR"		"same"	"25715"	"ACICLOVIR"	"automatique"
"ACIDE ACETYLSALICYLIQUE"	"ACETYLSALICYLATE"	"hasform"	"3107"	"DL-LYSINE (ACÉTYLSALICYLATE DE)"	"manuelle"
"ACIDE ACETYLSALICYLIQUE"	"ACETYLSALICYLATE"	"hasform"	"411"	"ACÉTYLSALICYLATE DE SODIUM"	"semiautomatique"
