dci2	score	substance	code	dci	manu
tiludronate	5.609083	tiludronate disodique	87268	acide tiludronique	1
etidronate	5.175866	etidronate disodique	13104	acide etidronique	1
folinate	5.175866	folinate disodique	17162	acide folinique	1
valproate	5.175866	valproate semisodique	27265	acide valproique	1
risedronate	5.036401	risedronate monosodique	45087	acide risedronique	1
ascorbate	4.603184	ascorbate sodique	1182	acide ascorbique	1
ascorbate	4.603184	ascorbate ferreux	512	acide ascorbique	1
ibandronate	4.4872665	ibandronate monosodique monohydrate	86008	acide ibandronique	1
medronate	4.4872665	sodium (medronate de)	97272	acide medronique	1
oxidronate	4.4872665	oxidronate de sodium	26221	acide oxidronique	1
amidotrizoate	4.284534	amidotrizoate de meglumine	3146	acide amidotrizoique	1
amidotrizoate	4.284534	amidotrizoate de sodium	1123	acide amidotrizoique	1
fusidate	4.284534	fusidate de sodium	4913	acide fusidique	1
fusidate	4.284534	sodium (fusidate de)	4913	acide fusidique	1
pamidronate	4.284534	pamidronate de sodium	67602	acide pamidronique	1
pamidronate	4.284534	sodium (pamidronate de)	67602	acide pamidronique	1
ricin	4.284534	ricin (huile de)	4324	ricinus communis	1
ricin	4.284534	huile de ricin	4324	ricinus communis	1
suxamethonium	4.284534	chlorure de suxamethonium	4653	succinylcholine	1
suxamethonium	4.284534	iodure de suxamethonium	4651	succinylcholine	1
clodronate	4.1406927	clodronate de sodium anhydre	62139	acide clodronique	1
clodronate	4.1406927	clodronate disodique tetrahydrate	81716	acide clodronique	1
clodronate	4.1406927	sodium (clodronate de) tetrahydrate	81716	acide clodronique	1
etidronate	4.1406927	etidronate de sodium	13104	acide etidronique	1
etidronate	4.1406927	sodium (etidronate de)	13104	acide etidronique	1
folinate	4.1406927	folinate de calcium	5390	acide folinique	1
folinate	4.1406927	calcium (folinate de)	5390	acide folinique	1
noradrenaline	4.1406927	tartrate de noradrenaline	2487	norepinephrine	1
noradrenaline	4.1406927	noradrenaline (tartrate de)	2487	norepinephrine	1
valproate	4.1406927	sodium (valproate de)	5562	acide valproique	1
valproate	4.1406927	valproate de sodium	5562	acide valproique	1
acetylsalicylate	4.0291204	dl-lysine (acetylsalicylate de)	3107	acide acetylsalicylique	1
acetylsalicylate	4.0291204	acetylsalicylate de dl-lysine	3107	acide acetylsalicylique	1
acetylsalicylate	4.0291204	sodium (acetylsalicylate de)	411	acide acetylsalicylique	1
acetylsalicylate	4.0291204	acetylsalicylate de sodium	411	acide acetylsalicylique	1
ioxaglate	4.0291204	meglumine (ioxaglate de)	937	acide ioxaglique	1
ioxaglate	4.0291204	sodium (ioxaglate de)	938	acide ioxaglique	1
ioxaglate	4.0291204	ioxaglate de meglumine	937	acide ioxaglique	1
ioxaglate	4.0291204	ioxaglate de sodium	938	acide ioxaglique	1
ioxitalamate	4.0291204	meglumine (ioxitalamate de)	5455	acide ioxitalamique	1
ioxitalamate	4.0291204	sodium (ioxitalamate de)	5131	acide ioxitalamique	1
ioxitalamate	4.0291204	ioxitalamate de sodium	5131	acide ioxitalamique	1
ioxitalamate	4.0291204	ioxitalamate de meglumine	5455	acide ioxitalamique	1
risedronate	4.0291204	risedronate monosodique anhydre	37314	acide risedronique	1
risedronate	4.0291204	risedronate monosodique hemipentahydrate	99549	acide risedronique	1
risedronate	4.0291204	risedronate monosodique monohydrate	16182	acide risedronique	1
citrate de magnesium	4.000031	magnesium (citrate de) anhydre	4414	dicitrate trimagnesien	1
alendronate	3.7941194	alendronate monosodique trihydrate	24982	acide alendronique	1
alendronate	3.7941194	alendronate de sodium anhydre	43912	acide alendronique	1
alendronate	3.7941194	alendronate monosodique monohydrate	17270	acide alendronique	1
alendronate	3.7941194	alendronate acide anhydre	35532	acide alendronique	1
alendronate	3.7941194	alendronate de sodium	24982	acide alendronique	1
nicotinate	3.7941194	nicotinate de methyle	5452	acide nicotinique	1
nicotinate	3.7941194	nicotinate de guethol	4943	acide nicotinique	1
nicotinate	3.7941194	gaiacol (nicotinate de)	3844	acide nicotinique	1
nicotinate	3.7941194	nicotinate de benzyle	2534	acide nicotinique	1
nicotinate	3.7941194	nicotinate de butoxyethyle	1298	acide nicotinique	1
ascorbate	3.6825473	sodium (ascorbate de)	1182	acide ascorbique	1
ascorbate	3.6825473	ascorbate de calcium	3641	acide ascorbique	1
ascorbate	3.6825473	ascorbate de sodium	1182	acide ascorbique	1
p a s sodique anhydre	3.4370947	pantoprazole sodique anhydre	61182	p a s sodique	0
p a s sodique anhydre	3.4370947	ceftriaxone sodique anhydre	19091	p a s sodique	0
acetyl sulfafurazol	3.2076316	sulfafurazol	2873	acetylsulfafurazol	1
benethamine penicilline	2.958813	penicilline v	2836	benethamine-penicilline	0
rougeole	2.587933	virus de la rougeole, souche schwartz, vivant, attenue	85085	virus rougeoleux	1
rougeole	2.587933	virus de la rougeole (souche edmonston enders) (vivant, attenue)	47161	virus rougeoleux	1
rougeole	2.587933	virus de la rougeole (souche edmonston 749 d) (vivant, attenue)	47161	virus rougeoleux	1
acetyl sulfafurazol	1.572097	n-acetyl l-cysteine	1014	acetylsulfafurazol	0
acetyl sulfafurazol	1.572097	n-acetyl-methionine	3387	acetylsulfafurazol	0
citrate de magnesium	1.4799048	citrate de betaine anhydre	29205	dicitrate trimagnesien	0
citrate de magnesium	1.4799048	citrate de tamoxifene	126	dicitrate trimagnesien	0
immunoglobuline equine anti-thymocytes humains	1.438313	fragment f(ab')2 d'immunoglobuline equine tetanique	25181	immunoglobulines equines antilymphocyte humain	0
immunoglobuline equine anti-thymocytes humains	1.438313	fragments f(ab')2 d'immunoglobuline equine rabique	3587	immunoglobulines equines antilymphocyte humain	0
sene de l'inde	1.4352255	sene (feuille de)	213	sene de l'inde	1
sene de l'inde	1.4352255	feuille de sene	213	sene de l'inde	1
sene de l'inde	1.4352255	sene (extrait sec de)	97684	sene de l'inde	1
peginterferon alfa-2a	1.3468761	peginterferon alfa-2b	38880	peg-interferon alfa-2a	0
peginterferon alfa-2a	1.3468761	peginterferon beta-1a	63229	peg-interferon alfa-2a	0
immunoglobuline equine anti-thymocytes humains	1.3350109	immunoglobuline de lapin anti-thymocytes humains	29318	immunoglobulines equines antilymphocyte humain	0
polystyrene sulfonate de calcium	1.3247823	catioresine sulfonate de phenyltoloxamine	2845	poly (styrenesulfonate de calcium)	0
sene de l'inde	1.2906758	sene (feuille de) (poudre de)	183	sene de l'inde	1
sene de l'inde	1.2906758	sene (follicule de) (poudre de)	8970	sene de l'inde	1
acetyl sulfafurazol	1.2576776	n-acetyl l-aspartate de dipotassium	4704	acetylsulfafurazol	0
p a s sodique anhydre	1.0939468	amoxicilline anhydre	5248	p a s sodique	0
p a s sodique anhydre	1.0939468	glucose anhydre	529	p a s sodique	0
piroxicam-betacyclodextrine (complexe)	1.0922964	complexe d'hydroxyde ferrique - saccharose	21962	piroxicam-betadex	0
piroxicam-betacyclodextrine (complexe)	1.0922964	complexe hydroxyde ferrique-dextrane	77135	piroxicam-betadex	0
piroxicam-betacyclodextrine (complexe)	1.0922964	nicotine-betadex (complexe)	81549	piroxicam-betadex	0
sodium (polystyrene sulfonate de)	0.9090676	catioresine sulfonate de phenyltoloxamine	2845	catioresine sulfo sodique	0
sodium (polystyrene sulfonate de)	0.8565519	chlorure de sodium	901	catioresine sulfo sodique	0
immunoglobuline equine anti-thymocytes humains	0.82189316	fragments f(ab')2 d'immunoglobuline equine antivenimeuse de vipere europeenne : venin de vipera berus	41725	immunoglobulines equines antilymphocyte humain	0
polystyrene sulfonate de calcium	0.6421395	carbonate de calcium	428	poly (styrenesulfonate de calcium)	0
acetohydroxamate	NA		NA	acide acetohydroxamique	0
