dci2	score	substance	code	dci	manu
peg interferon alfa 2a	3.94531	interferon alfa 2a	2427	PEG-INTERFERON ALFA-2A	0
benzalkonium	3.9379604	chlorure de benzalkonium	4771	BENZALKONIUM	hasform
metoprolol	3.9379604	metoprolol  tartrate de 	933	METOPROLOL	hasform
reglisse	3.9379604	reglisse  extrait de   sec 	243	REGLISSE	same
virus rubeoleux	3.8877554	virus rubeoleux  souche wistar ra 27 3  attenue	97753	VIRUS RUBEOLEUX	hasform
menthe	3.860885	feuille de menthe poivree	190	MENTHE	same
insuline	3.7854764	insuline degludec	38062	INSULINE	hasform
sodium citrate de 	3.7364984	citrate de sodium	4155	SODIUM (CITRATE DE)	same
alteplase recombinante	3.7087843	alteplase	56894	ALTEPLASE RECOMBINANTE	same
sene de khartoum	3.6657052	sene de khartoum ou d alexandrie  fruit de   extrait sec de 	86396	SENE DE KHARTOUM	same
sodium chlorure de 	3.6204526	chlorure de sodium	901	SODIUM (CHLORURE DE)	same
sene	3.479815	sene  feuille de 	213	SENE	same
calcium	3.4051075	calcium element	72723	CALCIUM	same
virus vivant attenue de la grippe	3.3041096	virus de la grippe reassorti  vivant  attenue  souche b massachusetts 2 2012   souche analogue  b massachussetts 2 2012  medi 237751 	42518	VIRUS VIVANT ATTENUE DE LA GRIPPE	hasform
abciximab c 7e3b fab 	3.2627773	abciximab  c7e3b fab 	99176	ABCIXIMAB (C 7E3B FAB)	same
estrogenes sulfoconjugues equins	3.2627773	estrogenes sulfoconjuges equins	3082	ESTROGENES SULFOCONJUGUES EQUINS	same
sene de l inde	3.1497436	sene de l inde ou de tinnevelly  fruit de 	78303	SENE DE L'INDE	same
p a s sodique	3.0097814	metamizole sodique	2489	P A S SODIQUE	0
rotavirus	2.8956637	rotavirus humain  souche rix4414   vivant  attenue 	99567	ROTAVIRUS	hasform
consommation d alcool	2.231638	alcool	35	CONSOMMATION D'ALCOOL	same
immunoglobulines equines antilymphocyte humain	1.7620422	immunoglobulines equines anticartilage porcin et antiparathyroides bovines	13455	IMMUNOGLOBULINES EQUINES ANTILYMPHOCYTE HUMAIN	0
peg interferon	1.5059502	interferon alfacon 1	59292	PEG-INTERFERON	0
ricinus communis	1.3356397	juniperus communis pour preparations homeopathiques	21200	RICINUS COMMUNIS	0
medicaments administres par voie orale	1.2131696	argent colloidal par voie chimique	54	MEDICAMENTS ADMINISTRES PAR VOIE ORALE	0
medicaments utilises par voie vaginale	1.2131696	argent colloidal par voie chimique	54	MEDICAMENTS UTILISES PAR VOIE VAGINALE	0
sels de fer par voie injectable	1.085045	argent colloidal par voie chimique	54	SELS DE FER PAR VOIE INJECTABLE	0
magnesium hydroxde de 	0.9512888	chlorure de magnesium hexahydrate	3018	MAGNESIUM (HYDROXDE DE)	0
alcool boisson ou excipient 	0.78712046	alcool	35	ALCOOL (BOISSON OU EXCIPIENT)	same
catioresine sulfo sodique	0.77340645	catioresine carboxylate de nicotine	30981	CATIORESINE SULFO SODIQUE	0
poly styrenesulfonate de calcium 	0.64893854	poly alcool vinylique 	346	POLY (STYRENESULFONATE DE CALCIUM)	0
virus rougeoleux	0.61377937	virus poliomyelitique inactive type 1	28730	VIRUS ROUGEOLEUX	0
preservatifs en latex	0.5114559	huile de poisson riche en acides omega 3	43401	PRESERVATIFS EN LATEX	0
jus de pamplemousse	0.054577827	hamamelis de virginie  feuille de   extrait de 	66251	JUS DE PAMPLEMOUSSE	0
