819	"indapamide"	"indapamide"
9586	"perindopril tert butylamine"	"perindopril tert butylamine"
52431	"perindopril"	"perindopril"
468	"codeine  phosphate de  sesquihydrate"	"codeine  phosphate de  sesquihydrate"
2202	"paracetamol"	"paracetamol"
2489	"metamizole sodique"	"metamizole sodique"
3164	"alchemille vulgaire"	"alchemille vulgaire"
5872	"marron d inde"	"marron d inde"
7203	"viburnum"	"viburnum"
7335	"vigne rouge"	"vigne rouge"
26826	"hamamelis de virginie"	"hamamelis de virginie"
42215	"anastrozole"	"anastrozole"
25783	"ranitidine  chlorhydrate de "	"ranitidine  chlorhydrate de "
49632	"ranitidine base"	"ranitidine base"
5248	"amoxicilline anhydre"	"amoxicilline anhydre"
28165	"amoxicilline trihydratee"	"amoxicilline trihydratee"
5319	"actaea racemosa pour preparations homeopathiques"	"actaea racemosa pour preparations homeopathiques"
4179	"dipropionate de beclometasone"	"dipropionate de beclometasone"
25329	"azelastine  chlorhydrate d  "	"azelastine  chlorhydrate d  "
75817	"azelastine"	"azelastine"
3902	"fenofibrate"	"fenofibrate"
42470	"leflunomide"	"leflunomide"
35415	"tramadol base"	"tramadol base"
86571	"chlorhydrate de tramadol"	"chlorhydrate de tramadol"
91877	"capecitabine"	"capecitabine"
626	"salbutamol"	"salbutamol"
3559	"sulfate de salbutamol"	"sulfate de salbutamol"
4034	"famotidine"	"famotidine"
40628	"chlorhydrate d epirubicine"	"chlorhydrate d epirubicine"
152	"niaouli  essence de "	"niaouli  essence de "
95609	"levetiracetam"	"levetiracetam"
43059	"tafluprost"	"tafluprost"
19809	"atorvastatine"	"atorvastatine"
50091	"atorvastatine calcique"	"atorvastatine calcique"
5080	"chlorhydrate d oxymetazoline"	"chlorhydrate d oxymetazoline"
29205	"citrate de betaine anhydre"	"citrate de betaine anhydre"
931	"sulfate de zinc"	"sulfate de zinc"
5432	"chlorhydrate de lidocaine"	"chlorhydrate de lidocaine"
690	"acide salicylique"	"acide salicylique"
529	"glucose anhydre"	"glucose anhydre"
17150	"glucose monohydrate"	"glucose monohydrate"
37973	"rivastigmine base"	"rivastigmine base"
55512	"hydrogenotartrate de rivastigmine"	"hydrogenotartrate de rivastigmine"
901	"chlorure de sodium"	"chlorure de sodium"
66431	"ciprofloxacine"	"ciprofloxacine"
79482	"chlorhydrate de ciprofloxacine"	"chlorhydrate de ciprofloxacine"
19745	"nitrate de fenticonazole"	"nitrate de fenticonazole"
36246	"fenticonazole base"	"fenticonazole base"
81058	"somatropine"	"somatropine"
17723	"olanzapine"	"olanzapine"
33803	"chlorhydrate de donepezil"	"chlorhydrate de donepezil"
70320	"donepezil base"	"donepezil base"
5	"acetylsalicylique  acide "	"acetylsalicylique  acide "
1023	"ascorbique  acide "	"ascorbique  acide "
42406	"sertraline base"	"sertraline base"
97603	"chlorhydrate de sertraline"	"chlorhydrate de sertraline"
3778	"chlorhexidine  gluconate de "	"chlorhexidine  gluconate de "
258	"nux vomica pour preparations homeopathiques"	"nux vomica pour preparations homeopathiques"
900	"borax"	"borax"
1851	"argentum nitricum pour preparations homeopathiques"	"argentum nitricum pour preparations homeopathiques"
7987	"tabacum pour preparations homeopathiques"	"tabacum pour preparations homeopathiques"
8172	"sepia officinalis pour preparations homeopathiques"	"sepia officinalis pour preparations homeopathiques"
25643	"cocculus indicus pour preparations homeopathiques"	"cocculus indicus pour preparations homeopathiques"
