code	termino	synonyme
DB00001	drugbank	Lepirudin
DB00002	drugbank	Cetuximab
DB00003	drugbank	Dornase alfa
DB00004	drugbank	Denileukin diftitox
DB00005	drugbank	Etanercept
DB00006	drugbank	Bivalirudin
DB00007	drugbank	Leuprolide
DB00008	drugbank	Peginterferon alfa-2a
DB00009	drugbank	Alteplase
DB00010	drugbank	Sermorelin
DB00011	drugbank	Interferon alfa-n1
DB00012	drugbank	Darbepoetin alfa
DB00013	drugbank	Urokinase
DB00014	drugbank	Goserelin
DB00015	drugbank	Reteplase
DB00016	drugbank	Erythropoietin
DB00017	drugbank	Salmon Calcitonin
DB00018	drugbank	Interferon alfa-n3
DB00019	drugbank	Pegfilgrastim
DB00020	drugbank	Sargramostim
DB00021	drugbank	Secretin
DB00022	drugbank	Peginterferon alfa-2b
DB00023	drugbank	Asparaginase
DB00024	drugbank	Thyrotropin Alfa
DB00025	drugbank	Antihemophilic Factor (Recombinant)
DB00026	drugbank	Anakinra
DB00027	drugbank	Gramicidin D
DB00028	drugbank	Immune Globulin Human
DB00029	drugbank	Anistreplase
DB00030	drugbank	Insulin Human
DB00031	drugbank	Tenecteplase
DB00032	drugbank	Menotropins
DB00033	drugbank	Interferon gamma-1b
DB00034	drugbank	Interferon Alfa-2a, Recombinant
DB00035	drugbank	Desmopressin
DB00036	drugbank	Coagulation factor VIIa Recombinant Human
DB00038	drugbank	Oprelvekin
DB00039	drugbank	Palifermin
DB00040	drugbank	Glucagon recombinant
DB00041	drugbank	Aldesleukin
DB00042	drugbank	Botulinum Toxin Type B
DB00043	drugbank	Omalizumab
DB00044	drugbank	Lutropin alfa
DB00045	drugbank	OspA lipoprotein
DB00046	drugbank	Insulin Lispro
DB00047	drugbank	Insulin Glargine
DB00048	drugbank	Collagenase clostridium histolyticum
DB00049	drugbank	Rasburicase
DB00050	drugbank	Cetrorelix
DB00051	drugbank	Adalimumab
DB00052	drugbank	Somatropin recombinant
DB00053	drugbank	Imiglucerase
DB00054	drugbank	Abciximab
DB00055	drugbank	Drotrecogin alfa
DB00056	drugbank	Gemtuzumab ozogamicin
DB00057	drugbank	Satumomab Pendetide
DB00058	drugbank	Alpha-1-proteinase inhibitor
DB00059	drugbank	Pegaspargase
DB00060	drugbank	Interferon beta-1a
DB00061	drugbank	Pegademase bovine
DB00062	drugbank	Human Serum Albumin
DB00063	drugbank	Eptifibatide
DB00064	drugbank	Serum albumin iodonated
DB00065	drugbank	Infliximab
DB00066	drugbank	Follitropin beta
DB00067	drugbank	Vasopressin
DB00068	drugbank	Interferon beta-1b
DB00069	drugbank	Interferon alfacon-1
DB00070	drugbank	Hyaluronidase
DB00071	drugbank	Insulin Pork
DB00072	drugbank	Trastuzumab
DB00073	drugbank	Rituximab
DB00074	drugbank	Basiliximab
DB00075	drugbank	Muromonab
DB00076	drugbank	Digoxin Immune Fab (Ovine)
DB00078	drugbank	Ibritumomab tiuxetan
DB00080	drugbank	Daptomycin
DB00081	drugbank	Tositumomab
DB00082	drugbank	Pegvisomant
DB00083	drugbank	Botulinum Toxin Type A
DB00085	drugbank	Pancrelipase
DB00086	drugbank	Streptokinase
DB00087	drugbank	Alemtuzumab
DB00088	drugbank	Alglucerase
DB00089	drugbank	Capromab
DB00090	drugbank	Laronidase
DB00091	drugbank	Cyclosporine
DB00092	drugbank	Alefacept
DB00093	drugbank	Felypressin
DB00094	drugbank	Urofollitropin
DB00095	drugbank	Efalizumab
DB00096	drugbank	Serum albumin
DB00097	drugbank	Chorionic Gonadotropin (Recombinant)
