code	termino	synonyme	"synonyme"
DB00001	drugbank	Lepirudin	"lepirudin"
DB00002	drugbank	Cetuximab	"cetuximab"
DB00003	drugbank	Dornase alfa	"dornase alfa"
DB00004	drugbank	Denileukin diftitox	"denileukin diftitox"
DB00005	drugbank	Etanercept	"etanercept"
DB00006	drugbank	Bivalirudin	"bivalirudin"
DB00007	drugbank	Leuprolide	"leuprolide"
DB00008	drugbank	Peginterferon alfa-2a	"peginterferon alfa 2a"
DB00009	drugbank	Alteplase	"alteplase"
DB00010	drugbank	Sermorelin	"sermorelin"
DB00011	drugbank	Interferon alfa-n1	"interferon alfa n1"
DB00012	drugbank	Darbepoetin alfa	"darbepoetin alfa"
DB00013	drugbank	Urokinase	"urokinase"
DB00014	drugbank	Goserelin	"goserelin"
DB00015	drugbank	Reteplase	"reteplase"
DB00016	drugbank	Erythropoietin	"erythropoietin"
DB00017	drugbank	Salmon Calcitonin	"salmon calcitonin"
DB00018	drugbank	Interferon alfa-n3	"interferon alfa n3"
DB00019	drugbank	Pegfilgrastim	"pegfilgrastim"
DB00020	drugbank	Sargramostim	"sargramostim"
DB00021	drugbank	Secretin	"secretin"
DB00022	drugbank	Peginterferon alfa-2b	"peginterferon alfa 2b"
DB00023	drugbank	Asparaginase	"asparaginase"
DB00024	drugbank	Thyrotropin Alfa	"thyrotropin alfa"
DB00025	drugbank	Antihemophilic Factor (Recombinant)	"antihemophilic factor recombinant "
DB00026	drugbank	Anakinra	"anakinra"
DB00027	drugbank	Gramicidin D	"gramicidin d"
DB00028	drugbank	Immune Globulin Human	"immune globulin human"
DB00029	drugbank	Anistreplase	"anistreplase"
DB00030	drugbank	Insulin Human	"insulin human"
DB00031	drugbank	Tenecteplase	"tenecteplase"
DB00032	drugbank	Menotropins	"menotropins"
DB00033	drugbank	Interferon gamma-1b	"interferon gamma 1b"
DB00034	drugbank	Interferon Alfa-2a, Recombinant	"interferon alfa 2a recombinant"
DB00035	drugbank	Desmopressin	"desmopressin"
DB00036	drugbank	Coagulation factor VIIa Recombinant Human	"coagulation factor viia recombinant human"
DB00038	drugbank	Oprelvekin	"oprelvekin"
DB00039	drugbank	Palifermin	"palifermin"
DB00040	drugbank	Glucagon recombinant	"glucagon recombinant"
DB00041	drugbank	Aldesleukin	"aldesleukin"
DB00042	drugbank	Botulinum Toxin Type B	"botulinum toxin type b"
DB00043	drugbank	Omalizumab	"omalizumab"
DB00044	drugbank	Lutropin alfa	"lutropin alfa"
DB00045	drugbank	OspA lipoprotein	"ospa lipoprotein"
DB00046	drugbank	Insulin Lispro	"insulin lispro"
DB00047	drugbank	Insulin Glargine	"insulin glargine"
DB00048	drugbank	Collagenase clostridium histolyticum	"collagenase clostridium histolyticum"
DB00049	drugbank	Rasburicase	"rasburicase"
DB00050	drugbank	Cetrorelix	"cetrorelix"
DB00051	drugbank	Adalimumab	"adalimumab"
DB00052	drugbank	Somatropin recombinant	"somatropin recombinant"
DB00053	drugbank	Imiglucerase	"imiglucerase"
DB00054	drugbank	Abciximab	"abciximab"
DB00055	drugbank	Drotrecogin alfa	"drotrecogin alfa"
DB00056	drugbank	Gemtuzumab ozogamicin	"gemtuzumab ozogamicin"
DB00057	drugbank	Satumomab Pendetide	"satumomab pendetide"
DB00058	drugbank	Alpha-1-proteinase inhibitor	"alpha 1 proteinase inhibitor"
DB00059	drugbank	Pegaspargase	"pegaspargase"
DB00060	drugbank	Interferon beta-1a	"interferon beta 1a"
DB00061	drugbank	Pegademase bovine	"pegademase bovine"
DB00062	drugbank	Human Serum Albumin	"human serum albumin"
DB00063	drugbank	Eptifibatide	"eptifibatide"
DB00064	drugbank	Serum albumin iodonated	"serum albumin iodonated"
DB00065	drugbank	Infliximab	"infliximab"
DB00066	drugbank	Follitropin beta	"follitropin beta"
DB00067	drugbank	Vasopressin	"vasopressin"
DB00068	drugbank	Interferon beta-1b	"interferon beta 1b"
DB00069	drugbank	Interferon alfacon-1	"interferon alfacon 1"
DB00070	drugbank	Hyaluronidase	"hyaluronidase"
