DB00001	drugbank	Lepirudin	"lepirudin"
DB00002	drugbank	Cetuximab	"cetuximab"
DB00003	drugbank	Dornase alfa	"dornas alfa"
DB00004	drugbank	Denileukin diftitox	"denileukin diftitox"
DB00005	drugbank	Etanercept	"etanercept"
DB00006	drugbank	Bivalirudin	"bivalirudin"
DB00007	drugbank	Leuprolide	"leuprolid"
DB00008	drugbank	Peginterferon alfa-2a	"peginterferon alfa 2a"
DB00009	drugbank	Alteplase	"alteplas"
DB00010	drugbank	Sermorelin	"sermorelin"
DB00011	drugbank	Interferon alfa-n1	"interferon alfa n1"
DB00012	drugbank	Darbepoetin alfa	"darbepoetin alfa"
DB00013	drugbank	Urokinase	"urokinas"
DB00014	drugbank	Goserelin	"goserelin"
DB00015	drugbank	Reteplase	"reteplas"
DB00016	drugbank	Erythropoietin	"erythropoietin"
DB00017	drugbank	Salmon Calcitonin	"salmon calcitonin"
DB00018	drugbank	Interferon alfa-n3	"interferon alfa n3"
DB00019	drugbank	Pegfilgrastim	"pegfilgrastim"
DB00020	drugbank	Sargramostim	"sargramostim"
DB00021	drugbank	Secretin	"secretin"
DB00022	drugbank	Peginterferon alfa-2b	"peginterferon alfa 2b"
DB00023	drugbank	Asparaginase	"asparaginas"
DB00024	drugbank	Thyrotropin Alfa	"thyrotropin alfa"
DB00025	drugbank	Antihemophilic Factor (Recombinant)	"antihemophilic factor ( recombin )"
DB00026	drugbank	Anakinra	"anakinr"
DB00027	drugbank	Gramicidin D	"gramicidin d"
DB00028	drugbank	Immune Globulin Human	"immun globulin human"
DB00029	drugbank	Anistreplase	"anistreplas"
DB00030	drugbank	Insulin Human	"insulin human"
DB00031	drugbank	Tenecteplase	"tenecteplas"
DB00032	drugbank	Menotropins	"menotropin"
DB00033	drugbank	Interferon gamma-1b	"interferon gamm 1b"
DB00034	drugbank	Interferon Alfa-2a, Recombinant	"interferon alfa 2a   recombin"
DB00035	drugbank	Desmopressin	"desmopressin"
DB00036	drugbank	Coagulation factor VIIa Recombinant Human	"coagul factor vii recombin human"
DB00038	drugbank	Oprelvekin	"oprelvekin"
DB00039	drugbank	Palifermin	"palifermin"
DB00040	drugbank	Glucagon recombinant	"glucagon recombin"
DB00041	drugbank	Aldesleukin	"aldesleukin"
DB00042	drugbank	Botulinum Toxin Type B	"botulinum toxin typ b"
DB00043	drugbank	Omalizumab	"omalizumab"
DB00044	drugbank	Lutropin alfa	"lutropin alfa"
DB00045	drugbank	OspA lipoprotein	"ospa lipoprotein"
DB00046	drugbank	Insulin Lispro	"insulin lispro"
DB00047	drugbank	Insulin Glargine	"insulin glargin"
DB00048	drugbank	Collagenase clostridium histolyticum	"collagenas clostridium histolyticum"
DB00049	drugbank	Rasburicase	"rasburicas"
DB00050	drugbank	Cetrorelix	"cetrorelix"
DB00051	drugbank	Adalimumab	"adalimumab"
DB00052	drugbank	Somatropin recombinant	"somatropin recombin"
DB00053	drugbank	Imiglucerase	"imigluceras"
DB00054	drugbank	Abciximab	"abciximab"
DB00055	drugbank	Drotrecogin alfa	"drotrecogin alfa"
DB00056	drugbank	Gemtuzumab ozogamicin	"gemtuzumab ozogamicin"
DB00057	drugbank	Satumomab Pendetide	"satumomab pendetid"
DB00058	drugbank	Alpha-1-proteinase inhibitor	"alpha 1 proteinas inhibitor"
DB00059	drugbank	Pegaspargase	"pegaspargas"
DB00060	drugbank	Interferon beta-1a	"interferon bet 1a"
DB00061	drugbank	Pegademase bovine	"pegademas bovin"
DB00062	drugbank	Human Serum Albumin	"human serum albumin"
DB00063	drugbank	Eptifibatide	"eptifibatid"
DB00064	drugbank	Serum albumin iodonated	"serum albumin iodonated"
DB00065	drugbank	Infliximab	"infliximab"
DB00066	drugbank	Follitropin beta	"follitropin bet"
DB00067	drugbank	Vasopressin	"vasopressin"
DB00068	drugbank	Interferon beta-1b	"interferon bet 1b"
DB00069	drugbank	Interferon alfacon-1	"interferon alfacon 1"
DB00070	drugbank	Hyaluronidase	"hyaluronidas"
DB00071	drugbank	Insulin Pork	"insulin pork"
