"CUI"	"synonymes"
"C0037537"	"4 hydroxybutyrate sodium"
"C0037537"	"4-hydroxybutyrate sodium"
"C0037537"	"4-hydroxybutyric acid sodium salt"
"C0037537"	"butanoic acid, 4-hydroxy-, monosodium salt"
"C0037537"	"hydroxybutyrate sodium 04"
"C0037537"	"oxybate sodium"
"C0037537"	"oxybate, sodium"
"C0037537"	"oxybutyrate, sodium"
"C0037537"	"sodium oxybate"
"C0037537"	"sodium oxybate [chemical/ingredient]"
"C0037537"	"sodium oxybutyrate"
"C0037537"	"sodium oxybutyrate (substance)"
"C0037537"	"sodium gamma hydroxybutyrate"
"C0037537"	"sodium gamma-hydroxybutyrate"
"C0037537"	"sodium oxybate (product)"
"C0037537"	"sodium oxybate (substance)"
"C0037537"	"sodium-4-hydroxybutyrate"
"C0037537"	"sodium 4-hydroxybutyrate"
"C0037537"	"sodium oxybate (medication)"
"C0000946"	"acebutolol"
"C0000946"	"acebutolol (product)"
"C0000946"	"acebutolol (substance)"
"C0000946"	"acebutolol - chemical"
"C0000946"	"acebutolol - chemical (substance)"
"C0000946"	"acebutolol [chemical/ingredient]"
"C0000946"	"acetobutolol"
"C0000946"	"butanamide, n-(3-acetyl-4-(2-hydroxy-3-((1-methylethyl)amino)propoxy)phenyl)-, (+-)-"
"C0050403"	"2-((2,6-dichlorophenyl)amino)phenylacetoxyacetic acid"
"C0050403"	"aceclofenac"
"C0050403"	"aceclofenac (product)"
"C0050403"	"aceclofenac (substance)"
"C0050403"	"aceclofenac - chemical"
"C0050403"	"aceclofenac - chemical (substance)"
"C0050403"	"aceclofenac product"
"C0050403"	"aceclofenac product (substance)"
"C0000956"	"2h-1-benzopyran-2-one, 4-hydroxy-3-(1-(4-nitrophenyl)-3-oxobutyl)-"
"C0000956"	"acenocoumarol"
"C0000956"	"acenocoumarin"
"C0000956"	"acenocoumarol (product)"
"C0000956"	"acenocoumarol (substance)"
"C0000956"	"acenocoumarol [chemical/ingredient]"
"C0000956"	"nicoumalone"
"C0000956"	"acenocoumarol (medication)"
"C0000959"	"10-(3-dimethylaminopropyl)phenothiazine-3-ethylone"
"C0000959"	"acepromazine"
"C0000959"	"acepromazine (substance)"
"C0000959"	"acepromazine [chemical/ingredient]"
"C0000959"	"acetazine"
"C0000959"	"acetopromazine"
"C0000959"	"acetylpromazine"
"C0000959"	"ethanone, 1-(10-(3-(dimethylamino)propyl)-10h-phenothiazin-2-yl)-"
"C0608826"	"1-(10-(2-(dimethylamino)propyl)-10h-phenothiazin- 2-yl)ethanone"
"C0608826"	"aceprometazine"
"C0000981"	"acetazolamide"
"C0000981"	"acetamide, n-(5-(aminosulfonyl)-1,3,4-thiadiazol-2-yl)-"
"C0000981"	"acetazolamide (product)"
"C0000981"	"acetazolamide (substance)"
"C0000981"	"acetazolamide - chemical"
"C0000981"	"acetazolamide - chemical (substance)"
"C0000981"	"acetazolamide [chemical/ingredient]"
"C0000981"	"acetazolamide [epilepsy]"
"C0000981"	"acetazolamide [epilepsy] (product)"
"C0000981"	"acetazolamide [epilepsy] (substance)"
"C0000981"	"acetazolamide [glaucoma]"
"C0000981"	"acetazolamide [glaucoma] (product)"
"C0000981"	"acetazolamide [glaucoma] (substance)"
"C0000981"	"n-(5-(aminosulfonyl)-1,3,4-thiadiazol-2-yl)acetamide"
"C0000981"	"n-[5-(aminosulfonyl)-1,3,4-thiadiazol-2-yl]acetamide"
"C0000981"	"acetazolamide (medication)"
