"CUI"	"synonymes"	"synonymes"
"C0037537"	"4 hydroxybutyrate sodium"	"4 hydroxybutyrate sodium"
"C0037537"	"4-hydroxybutyrate sodium"	"4 hydroxybutyrate sodium"
"C0037537"	"4-hydroxybutyric acid sodium salt"	"4 hydroxybutyric acid sodium salt"
"C0037537"	"butanoic acid, 4-hydroxy-, monosodium salt"	"butanoic acid 4 hydroxy monosodium salt"
"C0037537"	"hydroxybutyrate sodium 04"	"hydroxybutyrate sodium 04"
"C0037537"	"oxybate sodium"	"oxybate sodium"
"C0037537"	"oxybate, sodium"	"oxybate sodium"
"C0037537"	"oxybutyrate, sodium"	"oxybutyrate sodium"
"C0037537"	"sodium oxybate"	"sodium oxybate"
"C0037537"	"sodium oxybate [chemical/ingredient]"	"sodium oxybate chemical ingredient "
"C0037537"	"sodium oxybutyrate"	"sodium oxybutyrate"
"C0037537"	"sodium oxybutyrate (substance)"	"sodium oxybutyrate substance "
"C0037537"	"sodium gamma hydroxybutyrate"	"sodium gamma hydroxybutyrate"
"C0037537"	"sodium gamma-hydroxybutyrate"	"sodium gamma hydroxybutyrate"
"C0037537"	"sodium oxybate (product)"	"sodium oxybate product "
"C0037537"	"sodium oxybate (substance)"	"sodium oxybate substance "
"C0037537"	"sodium-4-hydroxybutyrate"	"sodium 4 hydroxybutyrate"
"C0037537"	"sodium 4-hydroxybutyrate"	"sodium 4 hydroxybutyrate"
"C0037537"	"sodium oxybate (medication)"	"sodium oxybate medication "
"C0000946"	"acebutolol"	"acebutolol"
"C0000946"	"acebutolol (product)"	"acebutolol product "
"C0000946"	"acebutolol (substance)"	"acebutolol substance "
"C0000946"	"acebutolol - chemical"	"acebutolol chemical"
"C0000946"	"acebutolol - chemical (substance)"	"acebutolol chemical substance "
"C0000946"	"acebutolol [chemical/ingredient]"	"acebutolol chemical ingredient "
"C0000946"	"acetobutolol"	"acetobutolol"
"C0000946"	"butanamide, n-(3-acetyl-4-(2-hydroxy-3-((1-methylethyl)amino)propoxy)phenyl)-, (+-)-"	"butanamide n 3 acetyl 4 2 hydroxy 3 1 methylethyl amino propoxy phenyl + "
"C0050403"	"2-((2,6-dichlorophenyl)amino)phenylacetoxyacetic acid"	"2 2 6 dichlorophenyl amino phenylacetoxyacetic acid"
"C0050403"	"aceclofenac"	"aceclofenac"
"C0050403"	"aceclofenac (product)"	"aceclofenac product "
"C0050403"	"aceclofenac (substance)"	"aceclofenac substance "
"C0050403"	"aceclofenac - chemical"	"aceclofenac chemical"
