CUI	code	termino	libmatch	score	synonyme_atome	libDB	libDBprefere	lib_atome	lib_CUI	manu
C0016330	DB00120	drugbank	f	9.619298	f	f	L-Phenylalanine	fluor	Fluorine	0
C0026251	DB00351	drugbank	mga	9.619298	mga	mga	Megestrol acetate	Mitoguazone	Mitoguazone	0
C0031705	DB00172	drugbank	p	9.619298	p	p	L-Proline	Phosphore	Phosphorus	0
C0010137	DB03742	drugbank	compound 4 d	7.539857	compound e	compound 4-d	Compound 4-D	Cortisone	Cortisone	0
C0010137	DB04088	drugbank	compound 6	7.539857	compound e	compound 6	N-(Allyloxycarbonyl)-4-[N-(Carboxy-Formyl)-2-(Benzoic Acid)-Amino]-L-Phenylalaninyl-Amino-Butyloxy-(6-Hydroxy-Benzoic Acid Methyl Ester)	Cortisone	Cortisone	0
C0010137	DB02014	drugbank	compound 9	7.539857	compound e	compound 9	Compound 9	Cortisone	Cortisone	0
C0164858	DB00392	drugbank	10 2 diethylaminopropyl phenothiazine	6.3930264	2-chloro-10-(3-diethylaminopropyl)phenothiazine	10-(2-diethylaminopropyl)phenothiazine	Ethopropazine	chlorproethazine	chlorproethazine	0
C0037533	DB00325	drugbank	nitroferricyanide	6.012061	sodium nitroferricyanide	nitroferricyanide	Nitroprusside	Nitroprussiate de sodium	Sodium Nitroprusside	formof
C0054452	DB01109	drugbank	heparinate	6.012061	calcium heparinate	heparinate	Heparin	heparin calcium	heparin calcium	formof
C0124008	DB00798	drugbank	gentamicin	5.7586455	1-n-hapa-gentamicin b	gentamicin	Gentamicin	isepamicin	isepamicin	0
C0027235	DB00332	drugbank	endo syn 3 3 hydroxy 1 oxo 2 phenylpropoxy 8 methyl 8 1 methylethyl 8 azoniabicyclo 3 2 1 octane bromide	5.623385	(3-endo,8-syn)-3-(3-hydroxy-1-oxo-2-phenylpropoxy)-8-methyl-8-(1-methylethyl)-8-azoniabicyclo(3.2.1)octane	(endo,syn)-(±)-3-(3-hydroxy-1-oxo-2-phenylpropoxy)-8-methyl-8-(1-methylethyl)-8-azoniabicyclo[3.2.1]octane bromide	Ipratropium bromide	ipratropium	Ipratropium	hasform
C0765538	DB09214	drugbank	dexketoprofen	5.5788445	dexketoprofen trometamol	dexketoprofen	Dexketoprofen	dexketoprofen trometamol	dexketoprofen trometamol	formof
