"mol1"	"mol2"	"date_min"	"date_max"
"ABATACEPT"	"ADALIMUMAB"	"01/01/2015"	"31/05/2015"
"ABATACEPT"	"BCG"	"01/01/2015"	"31/05/2015"
"ABATACEPT"	"ETANERCEPT"	"01/01/2015"	"31/05/2015"
"ABATACEPT"	"GOLIMUMAB"	"01/01/2015"	"31/05/2015"
"ABATACEPT"	"VIRUS DE LA VARICELLE"	"01/01/2015"	"31/05/2015"
"ABATACEPT"	"VIRUS DES OREILLONS"	"01/01/2015"	"31/05/2015"
"ABATACEPT"	"VIRUS ROUGEOLEUX"	"01/01/2015"	"31/05/2015"
"ABATACEPT"	"VIRUS RUBEOLEUX"	"01/01/2015"	"31/05/2015"
"ABIRATERONE"	"CARBAMAZEPINE"	"01/01/2015"	"31/05/2015"
"ABIRATERONE"	"PHENOBARBITAL"	"01/01/2015"	"31/05/2015"
"ABIRATERONE"	"PHENYTOINE"	"01/01/2015"	"31/05/2015"
"ABIRATERONE"	"PRIMIDONE"	"01/01/2015"	"31/05/2015"
"ABIRATERONE"	"RIFAMPICINE"	"01/01/2015"	"31/05/2015"
"ACECLOFENAC"	"ACENOCOUMAROL"	"01/01/2015"	"31/05/2015"
"ACECLOFENAC"	"APIXABAN"	"01/01/2015"	"31/05/2015"
"ACECLOFENAC"	"DABIGATRAN"	"01/01/2015"	"31/05/2015"
"ACECLOFENAC"	"FLUINDIONE"	"01/01/2015"	"31/05/2015"
"ACECLOFENAC"	"LITHIUM"	"01/01/2015"	"31/05/2015"
"ACECLOFENAC"	"RIVAROXABAN"	"01/01/2015"	"31/05/2015"
"ACECLOFENAC"	"WARFARINE"	"01/01/2015"	"31/05/2015"
"ACENOCOUMAROL"	"ACIDE MEFENAMIQUE"	"01/01/2015"	"31/05/2015"
"ACENOCOUMAROL"	"ACIDE NIFLUMIQUE"	"01/01/2015"	"31/05/2015"
"ACENOCOUMAROL"	"ACIDE TIAPROFENIQUE"	"01/01/2015"	"31/05/2015"
"ACENOCOUMAROL"	"ALMINOPROFENE"	"01/01/2015"	"31/05/2015"
"ACENOCOUMAROL"	"CELECOXIB"	"01/01/2015"	"31/05/2015"
"ACENOCOUMAROL"	"DICLOFENAC"	"01/01/2015"	"31/05/2015"
"ACENOCOUMAROL"	"ETODOLAC"	"01/01/2015"	"31/05/2015"
"ACENOCOUMAROL"	"FENOPROFENE"	"01/01/2015"	"31/05/2015"
"ACENOCOUMAROL"	"FLURBIPROFENE"	"01/01/2015"	"31/05/2015"
"ACENOCOUMAROL"	"IBUPROFENE"	"01/01/2015"	"31/05/2015"
"ACENOCOUMAROL"	"INDOMETACINE"	"01/01/2015"	"31/05/2015"
"ACENOCOUMAROL"	"KETOPROFENE"	"01/01/2015"	"31/05/2015"
"ACENOCOUMAROL"	"MELOXICAM"	"01/01/2015"	"31/05/2015"
"ACENOCOUMAROL"	"MICONAZOLE"	"01/01/2015"	"31/05/2015"
"ACENOCOUMAROL"	"MORNIFLUMATE"	"01/01/2015"	"31/05/2015"
"ACENOCOUMAROL"	"NABUMETONE"	"01/01/2015"	"31/05/2015"
"ACENOCOUMAROL"	"NAPROXENE"	"01/01/2015"	"31/05/2015"
"ACENOCOUMAROL"	"NIMESULIDE"	"01/01/2015"	"31/05/2015"
"ACENOCOUMAROL"	"PHENYLBUTAZONE"	"01/01/2015"	"31/05/2015"
"ACENOCOUMAROL"	"PIROXICAM"	"01/01/2015"	"31/05/2015"
"ACENOCOUMAROL"	"PIROXICAM-BETADEX"	"01/01/2015"	"31/05/2015"
"ACENOCOUMAROL"	"SULFAMETHOXAZOLE"	"01/01/2015"	"31/05/2015"
"ACENOCOUMAROL"	"SULINDAC"	"01/01/2015"	"31/05/2015"
"ACENOCOUMAROL"	"TENOXICAM"	"01/01/2015"	"31/05/2015"
"ACIDE ACETYLSALICYLIQUE"	"ANAGRELIDE"	"01/01/2015"	"31/05/2015"
"ACIDE ACETYLSALICYLIQUE"	"PROBENECIDE"	"01/01/2015"	"31/05/2015"
"ACIDE ACETYLSALICYLIQUE"	"TICLOPIDINE"	"01/01/2015"	"31/05/2015"
"ACIDE FUSIDIQUE"	"ATORVASTATINE"	"01/01/2015"	"31/05/2015"
"ACIDE FUSIDIQUE"	"FLUVASTATINE"	"01/01/2015"	"31/05/2015"
"ACIDE FUSIDIQUE"	"PRAVASTATINE"	"01/01/2015"	"31/05/2015"
"ACIDE FUSIDIQUE"	"ROSUVASTATINE"	"01/01/2015"	"31/05/2015"
"ACIDE FUSIDIQUE"	"SIMVASTATINE"	"01/01/2015"	"31/05/2015"
"ACIDE IOXAGLIQUE"	"METFORMINE"	"01/01/2015"	"31/05/2015"
"ACIDE IOXITALAMIQUE"	"METFORMINE"	"01/01/2015"	"31/05/2015"
"ACIDE MEFENAMIQUE"	"APIXABAN"	"01/01/2015"	"31/05/2015"
"ACIDE MEFENAMIQUE"	"DABIGATRAN"	"01/01/2015"	"31/05/2015"
"ACIDE MEFENAMIQUE"	"FLUINDIONE"	"01/01/2015"	"31/05/2015"
"ACIDE MEFENAMIQUE"	"LITHIUM"	"01/01/2015"	"31/05/2015"
"ACIDE MEFENAMIQUE"	"RIVAROXABAN"	"01/01/2015"	"31/05/2015"
"ACIDE MEFENAMIQUE"	"WARFARINE"	"01/01/2015"	"31/05/2015"
"ACIDE NIFLUMIQUE"	"APIXABAN"	"01/01/2015"	"31/05/2015"
"ACIDE NIFLUMIQUE"	"DABIGATRAN"	"01/01/2015"	"31/05/2015"
"ACIDE NIFLUMIQUE"	"FLUINDIONE"	"01/01/2015"	"31/05/2015"
"ACIDE NIFLUMIQUE"	"LITHIUM"	"01/01/2015"	"31/05/2015"
"ACIDE NIFLUMIQUE"	"RIVAROXABAN"	"01/01/2015"	"31/05/2015"
"ACIDE NIFLUMIQUE"	"WARFARINE"	"01/01/2015"	"31/05/2015"
"ACIDE TIAPROFENIQUE"	"APIXABAN"	"01/01/2015"	"31/05/2015"
"ACIDE TIAPROFENIQUE"	"DABIGATRAN"	"01/01/2015"	"31/05/2015"
"ACIDE TIAPROFENIQUE"	"FLUINDIONE"	"01/01/2015"	"31/05/2015"
"ACIDE TIAPROFENIQUE"	"LITHIUM"	"01/01/2015"	"31/05/2015"
"ACIDE TIAPROFENIQUE"	"RIVAROXABAN"	"01/01/2015"	"31/05/2015"
"ACIDE TIAPROFENIQUE"	"WARFARINE"	"01/01/2015"	"31/05/2015"
"ACIDE VALPROIQUE"	"LAMOTRIGINE"	"01/01/2015"	"31/05/2015"
"ACIDE VALPROIQUE"	"MEFLOQUINE"	"01/01/2015"	"31/05/2015"
"ACIDE VALPROIQUE"	"MEROPENEM"	"01/01/2015"	"31/05/2015"
"ACITRETINE"	"ACITRETINE"	"01/01/2015"	"31/05/2015"
"ACITRETINE"	"ALITRETINOINE"	"01/01/2015"	"31/05/2015"
"ACITRETINE"	"CHLORTETRACYCLINE"	"01/01/2015"	"31/05/2015"
"ACITRETINE"	"DEMECLOCYCLINE"	"01/01/2015"	"31/05/2015"
"ACITRETINE"	"DOXYCYCLINE"	"01/01/2015"	"31/05/2015"
"ACITRETINE"	"ISOTRETINOINE"	"01/01/2015"	"31/05/2015"
"ACITRETINE"	"LYMECYCLINE"	"01/01/2015"	"31/05/2015"
"ACITRETINE"	"METHOTREXATE"	"01/01/2015"	"31/05/2015"
"ACITRETINE"	"MINOCYCLINE"	"01/01/2015"	"31/05/2015"
"ACITRETINE"	"OXYTETRACYCLINE"	"01/01/2015"	"31/05/2015"
"ACITRETINE"	"TETRACYCLINE"	"01/01/2015"	"31/05/2015"
"ACITRETINE"	"TRETINOINE"	"01/01/2015"	"31/05/2015"
"ADALIMUMAB"	"BCG"	"01/01/2015"	"31/05/2015"
"ADALIMUMAB"	"VIRUS DE LA VARICELLE"	"01/01/2015"	"31/05/2015"
"ADALIMUMAB"	"VIRUS DES OREILLONS"	"01/01/2015"	"31/05/2015"
"ADALIMUMAB"	"VIRUS ROUGEOLEUX"	"01/01/2015"	"31/05/2015"
"ADALIMUMAB"	"VIRUS RUBEOLEUX"	"01/01/2015"	"31/05/2015"
"AGOMELATINE"	"CIPROFLOXACINE"	"01/01/2015"	"31/05/2015"
"AGOMELATINE"	"FLUVOXAMINE"	"01/01/2015"	"31/05/2015"
"ALFUZOSINE"	"BOCEPREVIR"	"01/01/2015"	"31/05/2015"
"ALFUZOSINE"	"CLARITHROMYCINE"	"01/01/2015"	"31/05/2015"
"ALFUZOSINE"	"COBICISTAT"	"01/01/2015"	"31/05/2015"
"ALFUZOSINE"	"ERYTHROMYCINE"	"01/01/2015"	"31/05/2015"
"ALFUZOSINE"	"ITRACONAZOLE"	"01/01/2015"	"31/05/2015"
"ALFUZOSINE"	"KETOCONAZOLE"	"01/01/2015"	"31/05/2015"
"ALFUZOSINE"	"RITONAVIR"	"01/01/2015"	"31/05/2015"
"ALFUZOSINE"	"TELAPREVIR"	"01/01/2015"	"31/05/2015"
"ALFUZOSINE"	"TELITHROMYCINE"	"01/01/2015"	"31/05/2015"
"ALISKIREN"	"BENAZEPRIL"	"01/01/2015"	"31/05/2015"
"ALISKIREN"	"CANDESARTAN CILEXETIL"	"01/01/2015"	"31/05/2015"
"ALISKIREN"	"CAPTOPRIL"	"01/01/2015"	"31/05/2015"
"ALISKIREN"	"CICLOSPORINE"	"01/01/2015"	"31/05/2015"
"ALISKIREN"	"CILAZAPRIL"	"01/01/2015"	"31/05/2015"
"ALISKIREN"	"ENALAPRIL"	"01/01/2015"	"31/05/2015"
"ALISKIREN"	"EPROSARTAN"	"01/01/2015"	"31/05/2015"
"ALISKIREN"	"FOSINOPRIL"	"01/01/2015"	"31/05/2015"
"ALISKIREN"	"IMIDAPRIL"	"01/01/2015"	"31/05/2015"
"ALISKIREN"	"IRBESARTAN"	"01/01/2015"	"31/05/2015"
"ALISKIREN"	"ITRACONAZOLE"	"01/01/2015"	"31/05/2015"
"ALISKIREN"	"LISINOPRIL"	"01/01/2015"	"31/05/2015"
"ALISKIREN"	"LOSARTAN"	"01/01/2015"	"31/05/2015"
"ALISKIREN"	"MOEXIPRIL"	"01/01/2015"	"31/05/2015"
"ALISKIREN"	"OLMESARTAN"	"01/01/2015"	"31/05/2015"
"ALISKIREN"	"PERINDOPRIL TERT-BUTYLAMINE"	"01/01/2015"	"31/05/2015"
"ALISKIREN"	"QUINAPRIL"	"01/01/2015"	"31/05/2015"
"ALISKIREN"	"QUINIDINE"	"01/01/2015"	"31/05/2015"
"ALISKIREN"	"RAMIPRIL"	"01/01/2015"	"31/05/2015"
"ALISKIREN"	"TELMISARTAN"	"01/01/2015"	"31/05/2015"
"ALISKIREN"	"TRANDOLAPRIL"	"01/01/2015"	"31/05/2015"
"ALISKIREN"	"VALSARTAN"	"01/01/2015"	"31/05/2015"
"ALISKIREN"	"ZOFENOPRIL"	"01/01/2015"	"31/05/2015"
"ALITRETINOINE"	"ALITRETINOINE"	"01/01/2015"	"31/05/2015"
"ALITRETINOINE"	"CHLORTETRACYCLINE"	"01/01/2015"	"31/05/2015"
"ALITRETINOINE"	"DEMECLOCYCLINE"	"01/01/2015"	"31/05/2015"
"ALITRETINOINE"	"DOXYCYCLINE"	"01/01/2015"	"31/05/2015"
"ALITRETINOINE"	"ISOTRETINOINE"	"01/01/2015"	"31/05/2015"
"ALITRETINOINE"	"LYMECYCLINE"	"01/01/2015"	"31/05/2015"
"ALITRETINOINE"	"MINOCYCLINE"	"01/01/2015"	"31/05/2015"
"ALITRETINOINE"	"OXYTETRACYCLINE"	"01/01/2015"	"31/05/2015"
"ALITRETINOINE"	"TETRACYCLINE"	"01/01/2015"	"31/05/2015"
"ALITRETINOINE"	"TRETINOINE"	"01/01/2015"	"31/05/2015"
"ALIZAPRIDE"	"LEVODOPA"	"01/01/2015"	"31/05/2015"
"ALLOPURINOL"	"AZATHIOPRINE"	"01/01/2015"	"31/05/2015"
"ALLOPURINOL"	"DIDANOSINE"	"01/01/2015"	"31/05/2015"
"ALLOPURINOL"	"MERCAPTOPURINE"	"01/01/2015"	"31/05/2015"
"ALMINOPROFENE"	"APIXABAN"	"01/01/2015"	"31/05/2015"
"ALMINOPROFENE"	"DABIGATRAN"	"01/01/2015"	"31/05/2015"
"ALMINOPROFENE"	"FLUINDIONE"	"01/01/2015"	"31/05/2015"
"ALMINOPROFENE"	"LITHIUM"	"01/01/2015"	"31/05/2015"
"ALMINOPROFENE"	"RIVAROXABAN"	"01/01/2015"	"31/05/2015"
"ALMINOPROFENE"	"WARFARINE"	"01/01/2015"	"31/05/2015"
"ALMOTRIPTAN"	"DIHYDROERGOTAMINE"	"01/01/2015"	"31/05/2015"
"ALMOTRIPTAN"	"ERGOTAMINE"	"01/01/2015"	"31/05/2015"
"ALMOTRIPTAN"	"IPRONIAZIDE"	"01/01/2015"	"31/05/2015"
"ALMOTRIPTAN"	"METHYLERGOMETRINE"	"01/01/2015"	"31/05/2015"
"ALMOTRIPTAN"	"METHYSERGIDE"	"01/01/2015"	"31/05/2015"
"ALMOTRIPTAN"	"MOCLOBEMIDE"	"01/01/2015"	"31/05/2015"
"ALMOTRIPTAN"	"RASAGILINE"	"01/01/2015"	"31/05/2015"
"ALMOTRIPTAN"	"SELEGILINE"	"01/01/2015"	"31/05/2015"
"ALTIZIDE"	"LITHIUM"	"01/01/2015"	"31/05/2015"
"AMANTADINE"	"CARPIPRAMINE"	"01/01/2015"	"31/05/2015"
"AMIODARONE"	"CICLOSPORINE"	"01/01/2015"	"31/05/2015"
"AMIODARONE"	"COBICISTAT"	"01/01/2015"	"31/05/2015"
"AMIODARONE"	"TELAPREVIR"	"01/01/2015"	"31/05/2015"
"AMISULPRIDE"	"ARTENIMOL"	"01/01/2015"	"31/05/2015"
"AMISULPRIDE"	"CHLOROQUINE"	"01/01/2015"	"31/05/2015"
"AMISULPRIDE"	"CITALOPRAM"	"01/01/2015"	"31/05/2015"
"AMISULPRIDE"	"DOMPERIDONE"	"01/01/2015"	"31/05/2015"
"AMISULPRIDE"	"ERYTHROMYCINE"	"01/01/2015"	"31/05/2015"
"AMISULPRIDE"	"ESCITALOPRAM"	"01/01/2015"	"31/05/2015"
"AMISULPRIDE"	"LEVODOPA"	"01/01/2015"	"31/05/2015"
"AMISULPRIDE"	"LEVOFLOXACINE"	"01/01/2015"	"31/05/2015"
"AMISULPRIDE"	"LUMEFANTRINE"	"01/01/2015"	"31/05/2015"
"AMISULPRIDE"	"MOXIFLOXACINE"	"01/01/2015"	"31/05/2015"
"AMISULPRIDE"	"PENTAMIDINE"	"01/01/2015"	"31/05/2015"
"AMISULPRIDE"	"PIPERAQUINE"	"01/01/2015"	"31/05/2015"
"AMISULPRIDE"	"SPIRAMYCINE"	"01/01/2015"	"31/05/2015"
"AMISULPRIDE"	"VINCAMINE"	"01/01/2015"	"31/05/2015"
"AMLODIPINE"	"DANTROLENE"	"01/01/2015"	"31/05/2015"
"AMOXICILLINE"	"METHOTREXATE"	"01/01/2015"	"31/05/2015"
"AMPICILLINE"	"METHOTREXATE"	"01/01/2015"	"31/05/2015"
"ANAGRELIDE"	"CLOPIDOGREL"	"01/01/2015"	"31/05/2015"
"ANAGRELIDE"	"PRASUGREL"	"01/01/2015"	"31/05/2015"
"ANAGRELIDE"	"TICAGRELOR"	"01/01/2015"	"31/05/2015"
"ANAGRELIDE"	"TICLOPIDINE"	"01/01/2015"	"31/05/2015"
"ANAKINRA"	"ETANERCEPT"	"01/01/2015"	"31/05/2015"
"APIXABAN"	"CELECOXIB"	"01/01/2015"	"31/05/2015"
"APIXABAN"	"DICLOFENAC"	"01/01/2015"	"31/05/2015"
"APIXABAN"	"ETODOLAC"	"01/01/2015"	"31/05/2015"
"APIXABAN"	"FENOPROFENE"	"01/01/2015"	"31/05/2015"
"APIXABAN"	"FLURBIPROFENE"	"01/01/2015"	"31/05/2015"
"APIXABAN"	"IBUPROFENE"	"01/01/2015"	"31/05/2015"
"APIXABAN"	"INDOMETACINE"	"01/01/2015"	"31/05/2015"
"APIXABAN"	"KETOPROFENE"	"01/01/2015"	"31/05/2015"
"APIXABAN"	"MELOXICAM"	"01/01/2015"	"31/05/2015"
"APIXABAN"	"MORNIFLUMATE"	"01/01/2015"	"31/05/2015"
"APIXABAN"	"NABUMETONE"	"01/01/2015"	"31/05/2015"
"APIXABAN"	"NAPROXENE"	"01/01/2015"	"31/05/2015"
"APIXABAN"	"NIMESULIDE"	"01/01/2015"	"31/05/2015"
"APIXABAN"	"PHENYLBUTAZONE"	"01/01/2015"	"31/05/2015"
"APIXABAN"	"PIROXICAM"	"01/01/2015"	"31/05/2015"
"APIXABAN"	"PIROXICAM-BETADEX"	"01/01/2015"	"31/05/2015"
"APIXABAN"	"SULINDAC"	"01/01/2015"	"31/05/2015"
"APIXABAN"	"TENOXICAM"	"01/01/2015"	"31/05/2015"
"APOMORPHINE"	"CARPIPRAMINE"	"01/01/2015"	"31/05/2015"
"APOMORPHINE"	"ONDANSETRON"	"01/01/2015"	"31/05/2015"
"APREPITANT"	"CARBAMAZEPINE"	"01/01/2015"	"31/05/2015"
"APREPITANT"	"PHENOBARBITAL"	"01/01/2015"	"31/05/2015"
"APREPITANT"	"PHENYTOINE"	"01/01/2015"	"31/05/2015"
"APREPITANT"	"PIMOZIDE"	"01/01/2015"	"31/05/2015"
"APREPITANT"	"PRIMIDONE"	"01/01/2015"	"31/05/2015"
"APREPITANT"	"RIFAMPICINE"	"01/01/2015"	"31/05/2015"
"ARIPIPRAZOLE"	"LEVODOPA"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"CHLOROQUINE"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"CHLORPROMAZINE"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"CITALOPRAM"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"CYAMEMAZINE"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"DOMPERIDONE"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"ERYTHROMYCINE"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"ESCITALOPRAM"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"FLUPENTIXOL"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"FLUPHENAZINE"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"HALOPERIDOL"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"LEVOFLOXACINE"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"LEVOMEPROMAZINE"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"LUMEFANTRINE"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"MEQUITAZINE"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"METHADONE"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"MIZOLASTINE"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"MOXIFLOXACINE"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"PENTAMIDINE"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"PIMOZIDE"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"PIPAMPERONE"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"PIPOTIAZINE"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"SPIRAMYCINE"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"SULPIRIDE"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"TIAPRIDE"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"VINCAMINE"	"01/01/2015"	"31/05/2015"
"ARTENIMOL"	"ZUCLOPENTHIXOL"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"ATORVASTATINE"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"ATOVAQUONE"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"BOCEPREVIR"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"CICLOSPORINE"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"COLCHICINE"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"CYPROTERONE"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"DESOGESTREL"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"DIENOGEST"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"DIHYDROERGOTAMINE"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"EFAVIRENZ"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"ERGOTAMINE"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"ESOMEPRAZOLE"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"ESTRADIOL"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"ETHINYLESTRADIOL"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"ETONOGESTREL"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"EVEROLIMUS"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"FESOTERODINE"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"LANSOPRAZOLE"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"LEVONORGESTREL"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"LUMEFANTRINE"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"MEDROXYPROGESTERONE"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"METHYLERGOMETRINE"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"METHYSERGIDE"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"MIZOLASTINE"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"NEVIRAPINE"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"NOMEGESTROL"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"NORETHISTERONE"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"OMEPRAZOLE"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"PANTOPRAZOLE"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"PIMOZIDE"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"QUINIDINE"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"RABEPRAZOLE"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"RIFAMPICINE"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"SIMVASTATINE"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"SIROLIMUS"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"TACROLIMUS"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"TELAPREVIR"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"TICAGRELOR"	"01/01/2015"	"31/05/2015"
"ATAZANAVIR"	"ULIPRISTAL"	"01/01/2015"	"31/05/2015"
