"thesaurus"	"mol1"	"mol2"	"niveau"	"date_min"	"date_max"
"thesaurus012015"	"ABATACEPT"	"ADALIMUMAB"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ABATACEPT"	"BCG"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ABATACEPT"	"ETANERCEPT"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ABATACEPT"	"GOLIMUMAB"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ABATACEPT"	"VIRUS DE LA VARICELLE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ABATACEPT"	"VIRUS DES OREILLONS"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ABATACEPT"	"VIRUS ROUGEOLEUX"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ABATACEPT"	"VIRUS RUBEOLEUX"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ABIRATERONE"	"CARBAMAZEPINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ABIRATERONE"	"PHENOBARBITAL"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ABIRATERONE"	"PHENYTOINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ABIRATERONE"	"PRIMIDONE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ABIRATERONE"	"RIFAMPICINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACECLOFENAC"	"ACENOCOUMAROL"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACECLOFENAC"	"APIXABAN"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACECLOFENAC"	"DABIGATRAN"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACECLOFENAC"	"FLUINDIONE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACECLOFENAC"	"LITHIUM"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACECLOFENAC"	"RIVAROXABAN"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACECLOFENAC"	"WARFARINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACENOCOUMAROL"	"ACIDE MEFENAMIQUE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACENOCOUMAROL"	"ACIDE NIFLUMIQUE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACENOCOUMAROL"	"ACIDE TIAPROFENIQUE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACENOCOUMAROL"	"ALMINOPROFENE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACENOCOUMAROL"	"CELECOXIB"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACENOCOUMAROL"	"DICLOFENAC"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACENOCOUMAROL"	"ETODOLAC"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACENOCOUMAROL"	"FENOPROFENE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACENOCOUMAROL"	"FLURBIPROFENE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACENOCOUMAROL"	"IBUPROFENE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACENOCOUMAROL"	"INDOMETACINE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACENOCOUMAROL"	"KETOPROFENE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACENOCOUMAROL"	"MELOXICAM"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACENOCOUMAROL"	"MICONAZOLE"	"CI"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACENOCOUMAROL"	"MORNIFLUMATE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACENOCOUMAROL"	"NABUMETONE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACENOCOUMAROL"	"NAPROXENE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACENOCOUMAROL"	"NIMESULIDE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACENOCOUMAROL"	"PHENYLBUTAZONE"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACENOCOUMAROL"	"PIROXICAM"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACENOCOUMAROL"	"PIROXICAM-BETADEX"	"AD"	"01/01/2015"	"31/05/2015"
"thesaurus012015"	"ACENOCOUMAROL"	"SULFAMETHOXAZOLE"	"AD"	"01/01/2015"	"31/05/2015"
