ABATACEPT	3400926884376
ABIRATERONE	3400921749748
ACEBUTOLOL	3400937301244;3400934817151;3400937380317;3400937850889;3400937680905;3400932207718;3400937366649;3400937378185;3400933046057;3400936583900;3400935949974;3400938523539;3400935950055;3400935409614;3400934047039;3400938523478;3400937365758;3400935284112;3400936146365;3400936584099;3400935020734;3400935466624;3400934046087;3400935347596;3400935949684;3400933127572;3400937125284;3400937222549;3400935877093;3400937208581;3400935307446;3400938649888;3400937680844;3400937125116;3400938649130;3400937813341;3400935020963;3400935864376;3400937387002;3400937311069;3400933173128;3400937302593;3400935466563;3400937384339;3400935386229;3400937292627;3400935147806;3400937850711;3400935949745;3400937861946;3400936146426;3400937292856;3400937226561
ACECLOFENAC	3400937279840;3400934566578;3400937279901;3400938987119;3400949974214
ACENOCOUMAROL	3400933564308;3400933662912
ACEPROMAZINE	3400931507284
ACEPROMETAZINE	3400931507284;3400930658567
ACIDE ACETYLSALICYLIQUE	3400932610204;3400930074749;3400933515102;3400931898191;3400926939939;3400933588540;3400932703616;3400930072448;3400931893639;3400931226895;3400933531539;3400930074688;3400934300141;3400938206371;3400935902269;3400935984814;3400934323492;3400936987395;3400937376983
ACIDE FUSIDIQUE	3400930417034;3400936766372;3400949656516;3400938875706;3400938875584;3400938644166;3400933227159;3400933191337;3400933227210;3400938478723;3400932931842;3400938478952;3400939126357;3400938742312
ACIDE IOXAGLIQUE	3400932304790;3400936075306;3400932747788;3400932304332;3400932391387
ACIDE IOXITALAMIQUE	3400932748099;3400932807734;3400932748150;3400931355519;3400931355458;3400932010707;3400933860981;3400931716013
ACIDE MEFENAMIQUE	3400930852446
ACIDE NIFLUMIQUE	3400930728796;3400933186654
ACIDE SALICYLIQUE	3400932399192;3400932309245;3400930628003;3400932213979;3400930817209;3400935888679;3400933375850;3400931177838
ACIDE TIAPROFENIQUE	3400932399482;3400936735965;3400938307719;3400935306906;3400935174598;3400935307095;3400931779285;3400936142114
ACIDE URSODESOXYCHOLIQUE	3400922333984;3400932341641;3400922334295;3400921906257;3400921931211;3400921906608;3400932340750;3400922334585
ACIDE VALPROIQUE	3400936551442;3400936966574;3400936551213;3400936966864;3400936551381;3400936966116;3400936966345;3400936966284;3400949980246;3400936738638;3400936965973;3400936551152;3400936966406;3400936966055;3400934876233;3400936966925;3400936738867;3400932634507;3400937157452;3400930292921;3400930293003;3400939848532;3400936738577;3400936967007;3400936551732;3400936934696;3400933018023;3400931922766;3400935444271
ACITRETINE	3400933126391;3400933126742
ADALIMUMAB	3400941851728;3400937801454;3400936223059
AGOMELATINE	3400939433059
ALFUZOSINE	3400937321006;3400937045001;3400937044868;3400933312466;3400949001897;3400921687491;3400937107365;3400938137552;3400949003730;3400933016012;3400949009305;3400937045469;3400937045520;3400937044110;3400949012893;3400939076287;3400935111036;3400937045230;3400935110664;3400938631968
ALIMEMAZINE	3400931052838;3400931053088
ALISKIREN	3400939900902;3400939900841;3400938209914;3400938209853;3400938153750;3400939900902;3400939900841;3400938209914;3400938209853;3400938153750;3400939215396;3400939215457;3400939215167
ALITRETINOINE	3400938960204;3400938960082
ALIZAPRIDE	3400932241484
