"PHA_CIP_C13"	"PHA_NOM_PA"	"PHA_ATC_L07"	"PHA_MED_COM"	"PHA_FRM_LIB"	"total"
"3400921600506"	"MONTELUKAST"	"MONTELUKAST"	"MONTELUKAST PHR LAB"	"COMPRIME"	9
"3400921601916"	"MONTELUKAST"	"MONTELUKAST"	"MONTELUKAST PHR LAB"	"COMPRIME"	34
"3400921604177"	"RIBAVIRINE"	"RIBAVIRINE"	"RIBAVIRINE ZENTIVA"	"COMPRIME"	3
"3400921604696"	"BROMFENAC SODIUM SESQUIHYDRATE"	"BROMFENAC SODIUM SESQUIHYDRATE"	"YELLOX"	"COLLYRE"	1620
"3400921607079"	"CLARITHROMYCINE"	"CLARITHROMYCINE"	"CLARITHROMYCINE PFIZER"	"COMPRIME"	8
"3400921607598"	"CLARITHROMYCINE"	"CLARITHROMYCINE"	"CLARITHROMYCINE PFIZER"	"COMPRIME"	11
"3400921607659"	"CLARITHROMYCINE"	"CLARITHROMYCINE"	"CLARITHROMYCINE PFIZER"	"COMPRIME"	5
"3400921609080"	"INTERFERON BETA-1A"	"INTERFERON BETA-1A"	"AVONEX"	"SOLUTION"	539
"3400921609660"	"ESOMEPRAZOLE"	"ESOMEPRAZOLE"	"ESOMEPRAZOLE BIOGARAN"	""	2
"3400921610550"	"NYSTATINE, NEOMYCINE (SULFATE), POLYMYXINE B (SULFATE)"	"NYSTATINE EN ASSOCIATION"	"POLYGYNAX"	"CAPSULE MOLLE"	342
"3400921610840"	"NICORANDIL"	"NICORANDIL"	"NICORANDIL SANDOZ"	"COMPRIME"	17
"3400921611731"	"NICORANDIL"	"NICORANDIL"	"NICORANDIL SANDOZ"	"COMPRIME"	91
"3400921617535"	"VALSARTAN + HYDROCHLOROTHIAZIDE"	"VALSARTAN ET DIURETIQUES"	"VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS"	"COMPRIME"	67
"3400921618075"	"VALSARTAN + HYDROCHLOROTHIAZIDE"	"VALSARTAN ET DIURETIQUES"	"VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS"	"COMPRIME"	18
"3400921619195"	"VALSARTAN + HYDROCHLOROTHIAZIDE"	"VALSARTAN ET DIURETIQUES"	"VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS"	"COMPRIME"	44
"3400921619546"	"VALSARTAN + HYDROCHLOROTHIAZIDE"	"VALSARTAN ET DIURETIQUES"	"VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS"	"COMPRIME"	17
"3400921620726"	"VALSARTAN + HYDROCHLOROTHIAZIDE"	"VALSARTAN ET DIURETIQUES"	"VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS"	"COMPRIME"	77
"3400921621266"	"VALSARTAN + HYDROCHLOROTHIAZIDE"	"VALSARTAN ET DIURETIQUES"	"VALSARTAN/HYDROCHLOROTHIAZIDE CRISTERS"	"COMPRIME"	44
"3400921625929"	"LEVETIRACETAM"	"LEVETIRACETAM"	"LEVETIRACETAM TEVA"	"COMPRIME"	94
"3400921626001"	"LEVETIRACETAM"	"LEVETIRACETAM"	"LEVETIRACETAM TEVA"	"COMPRIME"	473
"3400921626179"	"LEVETIRACETAM"	"LEVETIRACETAM"	"LEVETIRACETAM TEVA"	"COMPRIME"	42
"3400921633382"	"ESOMEPRAZOLE"	"ESOMEPRAZOLE"	"ESOMEPRAZOLE ARROW"	""	17
"3400921633443"	"ESOMEPRAZOLE"	"ESOMEPRAZOLE"	"ESOMEPRAZOLE ARROW"	""	77
"3400921633672"	"ESOMEPRAZOLE"	"ESOMEPRAZOLE"	"ESOMEPRAZOLE ARROW"	"COMPRIME"	978
"3400921634792"	"ESOMEPRAZOLE"	"ESOMEPRAZOLE"	"ESOMEPRAZOLE ARROW"	"COMPRIME"	39
"3400921634914"	"ESOMEPRAZOLE"	"ESOMEPRAZOLE"	"ESOMEPRAZOLE ARROW"	"COMPRIME"	601
"3400921636116"	"LETROZOLE"	"LETROZOLE"	"LETROZOLE CRISTERS"	"COMPRIME"	39
"3400921643497"	"LOSARTAN + HYDROCHLOROTHIAZIDE"	"LOSARTAN ET DIURETIQUES"	"LOSARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA"	"COMPRIME"	144
"3400921644098"	"LOSARTAN + HYDROCHLOROTHIAZIDE"	"LOSARTAN ET DIURETIQUES"	"LOSARTAN/HYDROCHLOROTHIAZIDE MYLAN PHARMA"	"COMPRIME"	61
"3400921653083"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE ZENTIVA"	""	1
"3400921653663"	"DOXAZOSINE"	"DOXAZOSINE"	"DOXAZOSINE MYLAN"	"COMPRIME"	218
"3400921654783"	"EXEMESTANE"	"EXEMESTANE"	"EXEMESTANE RANBAXY"	"COMPRIME"	4
"3400921655674"	"DOXAZOSINE"	"DOXAZOSINE"	"DOXAZOSINE ACTAVIS"	"COMPRIME"	59
"3400921656794"	"DOXAZOSINE"	"DOXAZOSINE"	"DOXAZOSINE MYLAN"	"COMPRIME"	720
"3400921658286"	"CLOBETASOL"	"CLOBETASOL"	"CLARELUX"	"MOUSSE"	693
"3400921659177"	"DESLORATADINE"	"DESLORATADINE"	"DESLORATADINE MYLAN PHARMA"	"COMPRIME"	4880
"3400921659528"	"DESLORATADINE"	"DESLORATADINE"	"DESLORATADINE MYLAN PHARMA"	"COMPRIME"	24404
"3400921659696"	"DONEPEZIL"	"DONEPEZIL"	"DONEPEZIL BIOGARAN"	"COMPRIME"	144
"3400921659986"	"DONEPEZIL"	"DONEPEZIL"	"DONEPEZIL BIOGARAN"	"COMPRIME"	703
"3400921661477"	"DESOGESTREL"	"DESOGESTREL"	"DESOGESTREL MYLAN"	"COMPRIME"	11
"3400921661538"	"DESOGESTREL"	"DESOGESTREL"	"DESOGESTREL MYLAN"	"COMPRIME"	348
"3400921662078"	"AMOROLFINE"	"AMOROLFINE"	"AMOROLFINE RANBAXY"	"SOLUTION"	93
"3400921663020"	"AMOROLFINE"	"AMOROLFINE"	"AMOROLFINE CRISTERS"	"SOLUTION"	80
"3400921663839"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE ISOMED"	"COMPRIME"	309
"3400921664379"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE ISOMED"	"COMPRIME"	130
"3400921664430"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE ISOMED"	"COMPRIME"	138
"3400921664959"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE ISOMED"	"COMPRIME"	59
"3400921665321"	"DIACEREINE"	"DIACEREINE"	"DIACEREINE ZYDUS"	"GELULE"	29
"3400921665550"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE ISOMED"	"COMPRIME"	120
"3400921665901"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE ISOMED"	"COMPRIME"	37
"3400921666090"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE ISOMED"	"COMPRIME"	52
"3400921666441"	"ATORVASTATINE"	"ATORVASTATINE"	"ATORVASTATINE ISOMED"	"COMPRIME"	6
"3400921673074"	"ALLOPURINOL"	"ALLOPURINOL"	"ALLOPURINOL ZENTIVA"	"COMPRIME"	1761
"3400921675894"	"ALLOPURINOL"	"ALLOPURINOL"	"ALLOPURINOL ZENTIVA"	"COMPRIME"	1846
"3400921676266"	"ALLOPURINOL"	"ALLOPURINOL"	"ALLOPURINOL ZENTIVA"	"COMPRIME"	569
"3400921676327"	"ETANERCEPT"	"ETANERCEPT"	"ENBREL"	"POUDRE"	17
"3400921677447"	"ALLOPURINOL"	"ALLOPURINOL"	"ALLOPURINOL RATIOPHARM"	"COMPRIME"	202
"3400921678918"	"ALLOPURINOL"	"ALLOPURINOL"	"ALLOPURINOL RATIOPHARM"	"COMPRIME"	407
"3400921680058"	"ALLOPURINOL"	"ALLOPURINOL"	"ALLOPURINOL RATIOPHARM"	"COMPRIME"	149
"3400921686951"	"ATENOLOL"	"ATENOLOL"	"ATENOLOL ZENTIVA"	"COMPRIME"	1410
"3400921687262"	"ATENOLOL"	"ATENOLOL"	"ATENOLOL ZENTIVA"	"COMPRIME"	250
"3400921687491"	"ALFUZOSINE"	"ALFUZOSINE"	"ALFUZOSINE ISOMED"	"COMPRIME"	56
"3400921687552"	"NILOTINIB"	"NILOTINIB"	"TASIGNA"	"GELULE"	53
"3400921687613"	"NILOTINIB"	"NILOTINIB"	"TASIGNA"	"GELULE"	52
"3400921687781"	"SOMATROPINE"	"SOMATROPINE"	"OMNITROPE"	"SOLUTION"	8
"3400921687842"	"SOMATROPINE"	"SOMATROPINE"	"OMNITROPE"	"SOLUTION"	27
"3400921689273"	"PERINDOPRIL"	"PERINDOPRIL"	"PERINDOPRIL EVOLUGEN"	"COMPRIME"	16
"3400921689914"	"EBASTINE"	"EBASTINE"	"EBASTINE TEVA"	"COMPRIME"	7906
